"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"786","July",2015,"Andalucía","Partner","51-64 years","51-64 years","Yes","Yes"
"787","July",2015,"Principado de Asturias","Partner","65-74 years","65-74 years","No","Yes"
"788","July",2015,"Principado de Asturias","Ex-partner","41-50 years","31-40 years","No","No"
"789","July",2015,"Islas Baleares","Ex-partner","31-40 years","31-40 years","No","No"
"790","July",2015,"Canarias","Ex-partner","21-30 years","31-40 years","No","No"
"791","July",2015,"Cataluña","Partner","31-40 years","41-50 years","No","Yes"
"792","July",2015,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
"793","July",2015,"Galicia","Ex-partner","21-30 years","31-40 years","No","No"
"794","July",2015,"Comunidad de Madrid","Ex-partner","21-30 years","21-30 years","No","No"
"795","August",2015,"Andalucía","Partner","65-74 years","65-74 years","No","Yes"
"796","August",2015,"Andalucía","Partner","41-50 years","51-64 years","No","No"
"797","August",2015,"Castilla - La Mancha","Ex-partner","21-30 years","21-30 years","No","No"
"798","August",2015,"Cataluña","Partner","41-50 years","41-50 years","No","Yes"
"799","August",2015,"Cataluña","Partner","41-50 years","51-64 years","No","No"
"800","August",2015,"País Vasco","In separation process","31-40 years","31-40 years","No","No"
"801","September",2015,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","No"
"802","September",2015,"Galicia","Partner","41-50 years","31-40 years","No","No"
"803","October",2015,"Canarias","Ex-partner","31-40 years","31-40 years","Yes","No"
"804","October",2015,"Castilla y León","Partner","31-40 years","41-50 years","No","Yes"
"805","October",2015,"Galicia","Ex-partner","31-40 years","31-40 years","No","No"
"806","October",2015,"Galicia","Partner","31-40 years","51-64 years","Yes","Yes"
"807","October",2015,"Galicia","Partner","65-74 years","51-64 years","No","Yes"
"808","October",2015,"Región de Murcia","Partner","21-30 years","31-40 years","Yes","Yes"
"809","October",2015,"País Vasco","Partner","31-40 years","31-40 years","No","No"
"810","November",2015,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
"811","November",2015,"Andalucía","Partner","21-30 years","51-64 years","No","No"
"812","November",2015,"Principado de Asturias","Partner","65-74 years","51-64 years","No","Yes"
"813","November",2015,"Comunidad Valenciana","Ex-partner","41-50 years","41-50 years","Yes","No"
"814","November",2015,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"815","November",2015,"Andalucía","Partner","41-50 years","51-64 years","No","Yes"
"816","November",2015,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Yes","Yes"
"817","December",2015,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"818","December",2015,"Andalucía","Partner","31-40 years","31-40 years","Yes","No"
"819","December",2015,"Aragón","Partner","41-50 years","41-50 years","No","Yes"
"820","December",2015,"Canarias","Partner","21-30 years","31-40 years","Yes","Yes"
"821","December",2015,"Comunidad Valenciana","Partner","31-40 years","31-40 years","No","Yes"
"822","December",2015,"Galicia","Partner","65-74 years","65-74 years","Yes","Yes"
"823","December",2015,"Comunidad de Madrid","Ex-partner","41-50 years","41-50 years","Yes","No"
"824","December",2015,"Galicia","Partner","75-84 years","75-84 years","Yes","Yes"
"825","December",2015,"Andalucía","Partner","21-30 years","51-64 years","No","Yes"
"826","January",2016,"Principado de Asturias","Partner","41-50 years","41-50 years","No","Yes"
